Chemnitz,	Sachsen	,240.078,50.8323531,12.918914,41,238.73,17,71.77,24
Dresden	,Sachsen	,557.782,51.0493286,13.7381437,67,435.93,34,153.07,43
Görlitz	,Sachsen,	54.664,51.1563185,14.991018,20,70.52,6,32.81,7
Leipzig	,Sachsen	,598.899,51.3406321,12.3747329,156,1213.91,27,165.33,120
Plauen	,Sachsen	,64.674,50.4950632,12.1346523,20,57.79,2,34.97,6
Zwickau	,Sachsen	,87.020,50.7185043,12.4939267,15,312.77,5,18.91,31
Dessau-Roßlau,	Sachsen-Anhalt,	75.938,51.8465924,12.2312238,25,757.26,8,53.99,75
Halle (Saale),	Sachsen-Anhalt,	226.586,51.4825041,11.9705452,62,346.43,11,90.38,35
Magdeburg,	Sachsen-Anhalt,	241.517,52.1315889,11.6399609,59,508.15,16,135.76,51
Erfurt,	Thüringen,	218.200,50.9777974,11.0287364,31,160.9,9,70.57,16
Gera ,	Thüringen,	93.120,50.8765537,12.0832666,15,71.68,4,23.8,8
Jena   ,	Thüringen,	110.369,50.9281717,11.5879359,11,82.02,3,21.3,9
Weimar	,Thüringen,	65.494,50.9793301,11.3297921,13,172.4,7,52.05,17
